sr_no,time_posted_local,listing_sk,user_sk,category_l3_sk,listing_price,lower_bound,month_posted,outlier_flag,category_name_an
1,01/04/20,4.978E+18,4.40726E+18,olx|mea|ae|classifieds|cl|1,10,-1652.5,4,Normal,Category 1
2,01/04/20,1.90233E+18,8.72306E+18,olx|mea|ae|classifieds|cl|4,70,-1652.5,4,Normal,Category 4
3,01/04/20,2.55621E+18,3.39829E+17,olx|mea|ae|classifieds|cl|4,100,-1652.5,4,Normal,Category 4
4,01/04/20,4.15577E+18,5.21892E+18,olx|mea|ae|classifieds|cl|6,150,-1652.5,4,Normal,Category 6
5,01/04/20,5.49892E+18,3.33516E+18,olx|mea|ae|classifieds|cl|1,2300000,-1652.5,4,High Outlier,Category 1
6,01/04/20,5.02771E+18,5.27205E+18,olx|mea|ae|classifieds|cl|5,500,-1652.5,4,Normal,Category 5
7,01/04/20,1.1803E+18,6.5876E+18,olx|mea|ae|classifieds|cl|2,500,-1652.5,4,Normal,Category 2
8,01/04/20,1.72404E+18,3.67042E+18,olx|mea|ae|classifieds|cl|2,400,-1652.5,4,Normal,Category 2
9,01/04/20,2.34729E+18,2.12236E+18,olx|mea|ae|classifieds|cl|6,100,-1652.5,4,Normal,Category 6
10,01/04/20,5.35622E+18,6.15059E+18,olx|mea|ae|classifieds|cl|9,300,-1652.5,4,Normal,All other
11,01/04/20,7.53806E+18,1.09177E+18,olx|mea|ae|classifieds|cl|4,50,-1652.5,4,Normal,Category 4
12,01/04/20,3.00206E+18,2.36306E+18,olx|mea|ae|classifieds|cl|6,50,-1652.5,4,Normal,Category 6
13,01/04/20,5.19876E+18,5.19554E+18,olx|mea|ae|classifieds|cl|8,100,-1652.5,4,Normal,All other
14,01/04/20,6.55989E+18,3.29078E+17,olx|mea|ae|classifieds|cl|13,1500,-1652.5,4,Normal,All other
15,01/04/20,7.94807E+18,7.90154E+18,olx|mea|ae|classifieds|cl|9,750,-1652.5,4,Normal,All other
16,01/04/20,8.90592E+17,6.2138E+18,olx|mea|ae|classifieds|cl|10,800,-1652.5,4,Normal,All other
17,01/04/20,6.65151E+18,7.53981E+18,olx|mea|ae|classifieds|cl|6,3500,-1652.5,4,High Outlier,Category 6
18,01/04/20,7.64008E+17,6.15604E+18,olx|mea|ae|classifieds|cl|4,200,-1652.5,4,Normal,Category 4
19,01/04/20,7.51852E+18,4.0932E+18,olx|mea|ae|classifieds|cl|5,380,-1652.5,4,Normal,Category 5
20,01/04/20,7.66738E+18,9.72844E+17,olx|mea|ae|classifieds|cl|4,600,-1652.5,4,Normal,Category 4
21,01/04/20,4.81249E+18,3.63942E+18,olx|mea|ae|classifieds|cl|6,800,-1652.5,4,Normal,Category 6
22,01/04/20,7.51373E+18,1.17457E+18,olx|mea|ae|classifieds|cl|5,450,-1652.5,4,Normal,Category 5
23,02/04/20,2.38672E+18,7.6514E+18,olx|mea|ae|classifieds|cl|1,5000,-1652.5,4,High Outlier,Category 1
24,02/04/20,5.28959E+18,4.97913E+17,olx|mea|ae|classifieds|cl|2,2200,-1652.5,4,Normal,Category 2
25,02/04/20,6.75523E+18,6.15059E+18,olx|mea|ae|classifieds|cl|9,400,-1652.5,4,Normal,All other
26,02/04/20,4.83075E+18,1.12642E+18,olx|mea|ae|classifieds|cl|4,100,-1652.5,4,Normal,Category 4
27,02/04/20,5.29568E+18,2.49336E+18,olx|mea|ae|classifieds|cl|2,800,-1652.5,4,Normal,Category 2
28,02/04/20,2.85573E+18,9.55929E+17,olx|mea|ae|classifieds|cl|5,2300,-1652.5,4,Normal,Category 5
29,02/04/20,8.19911E+18,4.96721E+18,olx|mea|ae|classifieds|cl|8,200,-1652.5,4,Normal,All other
30,02/04/20,7.53392E+18,2.66116E+18,olx|mea|ae|classifieds|cl|8,80,-1652.5,4,Normal,All other
31,02/04/20,4.36164E+18,6.11408E+18,olx|mea|ae|classifieds|cl|14,1750,-1652.5,4,Normal,All other
32,02/04/20,6.10428E+18,6.15059E+18,olx|mea|ae|classifieds|cl|9,1600,-1652.5,4,Normal,All other
33,02/04/20,4.28436E+18,1.87084E+18,olx|mea|ae|classifieds|cl|4,1000,-1652.5,4,Normal,Category 4
34,02/04/20,4.93914E+18,3.24156E+18,olx|mea|ae|classifieds|cl|4,1100,-1652.5,4,Normal,Category 4
35,02/04/20,1.57947E+17,1.39028E+18,olx|mea|ae|classifieds|cl|5,3000,-1652.5,4,Normal,Category 5
36,03/04/20,3.75305E+18,3.66754E+18,olx|mea|ae|classifieds|cl|4,500,-1652.5,4,Normal,Category 4
37,03/04/20,3.43055E+18,8.34422E+17,olx|mea|ae|classifieds|cl|2,650,-1652.5,4,Normal,Category 2
38,03/04/20,4.17449E+18,8.86419E+18,olx|mea|ae|classifieds|cl|9,200,-1652.5,4,Normal,All other
39,03/04/20,4.37485E+18,3.10239E+18,olx|mea|ae|classifieds|cl|14,80,-1652.5,4,Normal,All other
40,03/04/20,8.49295E+18,1.80621E+18,olx|mea|ae|classifieds|cl|15,300,-1652.5,4,Normal,All other
41,03/04/20,1.40239E+18,3.77377E+18,olx|mea|ae|classifieds|cl|2,500,-1652.5,4,Normal,Category 2
42,03/04/20,8.49099E+18,9.17899E+18,olx|mea|ae|classifieds|cl|15,25,-1652.5,4,Normal,All other
43,03/04/20,3.49921E+17,4.11646E+18,olx|mea|ae|classifieds|cl|16,5,-1652.5,4,Normal,All other
44,03/04/20,4.59215E+18,3.58655E+18,olx|mea|ae|classifieds|cl|12,445,-1652.5,4,Normal,All other
45,03/04/20,2.98642E+18,5.9079E+18,olx|mea|ae|classifieds|cl|9,1000,-1652.5,4,Normal,All other
46,03/04/20,3.63641E+18,5.29018E+18,olx|mea|ae|classifieds|cl|9,350,-1652.5,4,Normal,All other
47,03/04/20,1.05676E+18,2.51746E+18,olx|mea|ae|classifieds|cl|13,130,-1652.5,4,Normal,All other
48,03/04/20,2.50391E+18,3.64002E+18,olx|mea|ae|classifieds|cl|11,80,-1652.5,4,Normal,All other
49,04/04/20,7.13415E+18,2.17591E+17,olx|mea|ae|classifieds|cl|10,300,-1652.5,4,Normal,All other
50,04/04/20,1.44852E+18,2.46048E+18,olx|mea|ae|classifieds|cl|3,100,-1652.5,4,Normal,Category 3
51,04/04/20,8.61285E+18,5.19554E+18,olx|mea|ae|classifieds|cl|8,200,-1652.5,4,Normal,All other
52,04/04/20,1.44756E+18,8.90111E+18,olx|mea|ae|classifieds|cl|3,145000,-1652.5,4,High Outlier,Category 3
53,04/04/20,7.34569E+18,9.15402E+18,olx|mea|ae|classifieds|cl|4,350,-1652.5,4,Normal,Category 4
54,04/04/20,4.01466E+18,3.77377E+18,olx|mea|ae|classifieds|cl|4,850,-1652.5,4,Normal,Category 4
55,04/04/20,1.06533E+18,7.61365E+18,olx|mea|ae|classifieds|cl|13,50,-1652.5,4,Normal,All other
56,04/04/20,5.49405E+18,3.95672E+18,olx|mea|ae|classifieds|cl|8,40,-1652.5,4,Normal,All other
57,04/04/20,3.00002E+18,3.39829E+17,olx|mea|ae|classifieds|cl|4,400,-1652.5,4,Normal,Category 4
58,04/04/20,1.10902E+18,6.78189E+18,olx|mea|ae|classifieds|cl|1,22,-1652.5,4,Normal,Category 1
59,04/04/20,1.29805E+18,1.08601E+18,olx|mea|ae|classifieds|cl|9,90,-1652.5,4,Normal,All other
60,04/04/20,1.29326E+18,1.86904E+18,olx|mea|ae|classifieds|cl|9,949,-1652.5,4,Normal,All other
61,04/04/20,3.26E+18,8.99026E+18,olx|mea|ae|classifieds|cl|14,250,-1652.5,4,Normal,All other
62,04/04/20,6.46983E+18,2.01561E+18,olx|mea|ae|classifieds|cl|10,1800,-1652.5,4,Normal,All other
63,04/04/20,2.0593E+18,8.06412E+18,olx|mea|ae|classifieds|cl|2,400,-1652.5,4,Normal,Category 2
64,04/04/20,1.42465E+18,3.39829E+17,olx|mea|ae|classifieds|cl|4,400,-1652.5,4,Normal,Category 4
65,04/04/20,2.08321E+18,1.12199E+18,olx|mea|ae|classifieds|cl|4,500,-1652.5,4,Normal,Category 4
66,04/04/20,3.26674E+18,4.24348E+18,olx|mea|ae|classifieds|cl|14,70,-1652.5,4,Normal,All other
67,05/04/20,5.29018E+18,3.19307E+18,olx|mea|ae|classifieds|cl|7,6400,-1652.5,4,High Outlier,Category 7
68,05/04/20,8.48354E+18,1.16152E+18,olx|mea|ae|classifieds|cl|5,1550,-1652.5,4,Normal,Category 5
69,05/04/20,2.89099E+18,5.41961E+18,olx|mea|ae|classifieds|cl|13,1000,-1652.5,4,Normal,All other
