time_posted_local,listing_sk,user_sk,category_l3_sk,listing_price,lower_bound,month_posted,outlier_flag,category_name_an
2023-01-01 00:00:00,221958,59507,cat004,85568,4389,5,No,Villas
2023-01-01 00:01:00,771155,37265,cat001,54772,1615,2,Yes,Townhouses
2023-01-01 00:02:00,231932,89298,cat001,3949,2332,7,No,Apartments
2023-01-01 00:03:00,465838,62443,cat001,19264,4355,1,Yes,Commercial
2023-01-01 00:04:00,359178,49227,cat004,72355,4616,1,No,Villas
2023-01-01 00:05:00,744167,97955,cat001,49414,1817,10,No,Villas
2023-01-01 00:06:00,210268,81186,cat001,93938,7885,3,Yes,Townhouses
2023-01-01 00:07:00,832180,14200,cat001,72489,2754,8,No,Apartments
2023-01-01 00:08:00,154886,75316,cat004,28823,4293,4,Yes,Townhouses
2023-01-01 00:09:00,237337,91550,cat003,40480,8009,2,No,Townhouses
2023-01-01 00:10:00,621430,66442,cat004,48638,8640,1,No,Townhouses
2023-01-01 00:11:00,187498,45304,cat002,45096,4228,2,Yes,Apartments
2023-01-01 00:12:00,999159,99285,cat001,95259,9136,11,Yes,Townhouses
2023-01-01 00:13:00,275203,92793,cat001,34838,5123,3,Yes,Commercial
2023-01-01 00:14:00,291335,18439,cat004,92065,4580,7,No,Apartments
2023-01-01 00:15:00,378167,33360,cat003,80050,7810,5,No,Villas
2023-01-01 00:16:00,141090,29724,cat003,36305,1970,12,Yes,Townhouses
2023-01-01 00:17:00,429365,59719,cat004,38929,4813,4,No,Commercial
2023-01-01 00:18:00,164820,24445,cat004,58845,6866,7,No,Apartments
2023-01-01 00:19:00,887201,32316,cat004,50316,8619,4,No,Commercial
2023-01-01 00:20:00,421879,67080,cat001,95810,4527,12,No,Townhouses
2023-01-01 00:21:00,818315,11351,cat001,14557,9469,3,No,Commercial
2023-01-01 00:22:00,427069,58342,cat002,61750,6247,1,No,Townhouses
2023-01-01 00:23:00,876997,33840,cat001,92660,3877,9,No,Villas
2023-01-01 00:24:00,299041,79473,cat004,69796,3306,12,Yes,Commercial
2023-01-01 00:25:00,891743,22385,cat002,48768,2185,12,No,Villas
2023-01-01 00:26:00,203355,67149,cat003,43218,9522,10,Yes,Commercial
2023-01-01 00:27:00,335796,34424,cat002,62510,7605,1,No,Apartments
2023-01-01 00:28:00,314176,61067,cat003,34848,9358,10,No,Apartments
2023-01-01 00:29:00,284779,14842,cat004,54629,8777,9,No,Villas
2023-01-01 00:30:00,447449,96949,cat002,16121,4703,12,Yes,Townhouses
2023-01-01 00:31:00,521909,22443,cat002,9530,7130,11,Yes,Villas
2023-01-01 00:32:00,358795,47200,cat001,10560,808,9,No,Villas
2023-01-01 00:33:00,586232,32885,cat004,31468,6852,12,No,Villas
2023-01-01 00:34:00,600186,16010,cat003,63187,7660,4,No,Townhouses
2023-01-01 00:35:00,256730,44927,cat002,48996,5618,3,No,Townhouses
2023-01-01 00:36:00,970910,32557,cat002,71663,9908,5,Yes,Commercial
2023-01-01 00:37:00,484681,71056,cat003,89741,6172,8,Yes,Townhouses
2023-01-01 00:38:00,249503,30443,cat002,26054,7170,11,Yes,Commercial
2023-01-01 00:39:00,754811,73587,cat004,72197,5508,5,No,Commercial
2023-01-01 00:40:00,627035,69793,cat004,22153,7900,7,Yes,Apartments
2023-01-01 00:41:00,748143,58736,cat002,21403,997,10,No,Apartments
2023-01-01 00:42:00,552366,32639,cat003,37736,8516,8,No,Townhouses
2023-01-01 00:43:00,165725,19964,cat004,21620,1441,11,Yes,Apartments
2023-01-01 00:44:00,229981,71498,cat001,24135,4381,1,Yes,Villas
2023-01-01 00:45:00,184654,88822,cat001,98980,986,11,Yes,Townhouses
2023-01-01 00:46:00,691723,92193,cat003,28512,1836,2,No,Villas
2023-01-01 00:47:00,419030,19478,cat002,51460,7723,2,No,Apartments
2023-01-01 00:48:00,428947,77772,cat003,29591,3351,6,No,Townhouses
2023-01-01 00:49:00,655839,93651,cat004,33187,6670,3,No,Commercial
2023-01-01 00:50:00,373538,13728,cat001,9639,8511,11,No,Villas
2023-01-01 00:51:00,431236,50530,cat004,16103,3580,6,Yes,Villas
2023-01-01 00:52:00,628178,62582,cat003,8954,5565,7,No,Villas
2023-01-01 00:53:00,665894,39878,cat001,67477,5066,5,No,Villas
2023-01-01 00:54:00,589492,31733,cat004,14239,7420,4,Yes,Commercial
2023-01-01 00:55:00,356840,83675,cat003,81267,3953,5,Yes,Townhouses
2023-01-01 00:56:00,573254,23016,cat002,46369,9196,12,No,Villas
2023-01-01 00:57:00,449457,22766,cat003,64119,5768,8,No,Villas
2023-01-01 00:58:00,765987,81463,cat004,79005,1926,10,Yes,Apartments
2023-01-01 00:59:00,370936,96158,cat001,91993,1503,12,Yes,Commercial
2023-01-01 01:00:00,339931,57544,cat004,48649,8779,12,No,Commercial
2023-01-01 01:01:00,339629,32262,cat001,13161,9355,7,No,Commercial
2023-01-01 01:02:00,305041,76762,cat001,6312,7793,7,Yes,Villas
2023-01-01 01:03:00,798361,34698,cat002,53443,4520,9,Yes,Apartments
2023-01-01 01:04:00,831912,15252,cat004,13724,1505,8,Yes,Apartments
2023-01-01 01:05:00,517113,86605,cat004,31991,7812,7,No,Townhouses
2023-01-01 01:06:00,168148,44985,cat004,27291,2895,8,Yes,Commercial
2023-01-01 01:07:00,877089,32101,cat003,93663,1825,8,No,Commercial
2023-01-01 01:08:00,748531,77495,cat001,57446,4951,10,Yes,Villas
2023-01-01 01:09:00,351995,23204,cat001,24682,8920,9,Yes,Townhouses
2023-01-01 01:10:00,778843,16776,cat001,56174,9412,5,No,Villas
2023-01-01 01:11:00,672843,19491,cat002,84573,8522,2,Yes,Townhouses
2023-01-01 01:12:00,356508,11823,cat001,30692,1999,7,Yes,Apartments
2023-01-01 01:13:00,903591,69061,cat002,81823,8754,3,Yes,Townhouses
2023-01-01 01:14:00,996942,90931,cat002,97478,8686,6,No,Apartments
2023-01-01 01:15:00,206530,32517,cat004,94667,8336,3,No,Villas
2023-01-01 01:16:00,704365,52937,cat004,37337,1215,6,No,Apartments
